league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1958,Northern League,Eau Claire,regular,,,65,56,0,0.537,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Duluth-Superior,regular,,,55,67,1,0.451,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Grand Forks,regular,,,51,68,0,0.429,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Aberdeen,regular,,,39,86,1,0.312,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,St. Cloud,semifinal,Semifinal 1,,1,0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Winnipeg,semifinal,Semifinal 1,,0,1,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Fargo-Moorhead,semifinal,Semifinal 2,,1,0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Minot,semifinal,Semifinal 2,,0,1,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Fargo-Moorhead,final,,,2,1,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,St. Cloud,final,,,1,2,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Winnipeg,regular,,,,,,,,90998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Fargo-Moorhead,regular,,,,,,,,52942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Duluth-Superior,regular,,,,,,,,39780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Aberdeen,regular,,,,,,,,36599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Minot,regular,,,,,,,,34355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,St. Cloud,regular,,,,,,,,33902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Eau Claire,regular,,,,,,,,30032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Grand Forks,regular,,,,,,,,28961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Eau Claire,regular,,,,,,,,,121,,4078,672,,1147,1719,,174,37,108,594,486,,644,,55,44,,25,,0.281,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Winnipeg,regular,,,,,,,,,118,,3968,704,,1096,1633,,181,19,106,603,690,,668,,45,69,,107,,0.276,,,,,,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,St. Cloud,regular,,,,,,,,,124,,4103,671,,1069,1469,,158,25,64,588,666,,784,,53,70,,82,,0.261,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Grand Forks,regular,,,,,,,,,119,,4017,598,,1006,1524,,142,50,92,511,524,,891,,46,44,,100,,0.25,,,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Fargo-Moorhead,regular,,,,,,,,,123,,3994,703,,1000,1454,,139,42,77,605,807,,845,,48,61,,77,,0.25,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Duluth-Superior,regular,,,,,,,,,123,,3888,568,,971,1319,,171,33,37,505,637,,650,,47,77,,53,,0.25,,,,,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Minot,regular,,,,,,,,,122,,3978,644,,979,1510,,175,55,82,570,756,,759,,50,42,,45,,0.246,,,,,,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Aberdeen,regular,,,,,,,,,126,,4007,456,,923,1236,,149,25,38,402,621,,866,,36,39,,49,,0.23,,,,,,,,,,,708,,,,,,,,,,,,,,,,,,,,,,,
1958,Northern League,Fargo-Moorhead,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,47,9,,,,,,1057.0,4010,583,450,1025,85,588,,591,58,50,30,62,3,3.83,,,,,,,,,,,
1958,Northern League,Winnipeg,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,68,7,,,,,,1025.0,3892,558,455,972,89,586,,767,37,51,32,61,5,4.0,,,,,,,,,,,
1958,Northern League,St. Cloud,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,62,9,,,,,,1085.0,4114,601,482,1009,59,719,,752,47,50,38,90,1,4.0,,,,,,,,,,,
1958,Northern League,Duluth-Superior,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,53,6,,,,,,1039.0,3994,623,475,1009,79,624,,826,54,66,37,64,4,4.11,,,,,,,,,,,
1958,Northern League,Eau Claire,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,52,5,,,,,,1025.0,3978,650,491,1037,73,631,,808,39,55,41,52,2,4.31,,,,,,,,,,,
1958,Northern League,Minot,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,55,9,,,,,,1041.0,4022,624,512,1072,75,598,,709,62,70,32,65,0,4.43,,,,,,,,,,,
