league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_LOB,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB,F_CS,F_XI,F_LOB,F_PCT
1918,Southern Association,Atlanta,regular,,,,,18,49,,0.269,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,New Orleans,regular,,,,,,,,,,,70,,2122,266,,557,707,,,,,,,,,,,,,108,,,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Birmingham,regular,,,,,,,,,,,67,,2127,247,,567,690,,,,,,,,,,,,,81,,,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Little Rock,regular,,,,,,,,,,,73,,2405,306,,619,792,,,,,,,,,,,,,73,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Mobile,regular,,,,,,,,,,,69,,2204,236,,539,658,,,,,,,,,,,,,59,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Nashville,regular,,,,,,,,,,,69,,2143,221,,505,653,,,,,,,,,,,,,37,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Chattanooga,regular,,,,,,,,,,,70,,2250,247,,533,660,,,,,,,,,,,,,72,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Atlanta,regular,,,,,,,,,,,68,,2149,191,,490,632,,,,,,,,,,,,,55,,,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,Memphis,regular,,,,,,,,,,,73,,2281,254,,529,675,,,,,,,,,,,,,52,,,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Southern Association,New Orleans,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,1802,891,89,44,0,4,,,,,0.968
1918,Southern Association,Memphis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,1863,926,95,43,0,3,,,,,0.967
1918,Southern Association,Chattanooga,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,1839,903,95,39,1,2,,,,,0.967
1918,Southern Association,Little Rock,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,1891,947,104,43,0,3,,,,,0.965
1918,Southern Association,Birmingham,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,1757,894,118,37,0,2,,,,,0.96
1918,Southern Association,Atlanta,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,1829,861,126,45,0,8,,,,,0.955
1918,Southern Association,Nashville,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,1737,885,128,35,0,2,,,,,0.953
1918,Southern Association,Mobile,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,1556,923,143,52,0,2,,,,,0.942
1918,Western League,Wichita,regular,,,,,41,24,,0.631,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Hutchinson,regular,,,,,37,31,,0.544,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Des Moines,regular,,,,,36,31,,0.537,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Joplin,regular,,,,,34,31,,0.523,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Omaha,regular,,,,,33,32,,0.508,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Oklahoma City,regular,,,,,33,37,,0.471,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,St. Joseph,regular,,,,,30,38,,0.441,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Sioux City,regular,,,,,22,42,,0.344,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Oklahoma City,regular,,,,,,,,,,,68,,2194,285,,587,806,,,,,,,,,,,,,81,,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Wichita,regular,,,,,,,,,,,68,,2176,304,,578,782,,,,,,,,,,,,,73,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Hutchinson,regular,,,,,,,,,,,59,,1919,255,,498,625,,,,,,,,,,,,,103,,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
